Bird type,Observations,Photos
Peregrine falcon,558012,56115
Prairie falcon,78121,9013
Taita falcon,161,48
Gyrfalcon,11914,5330
Saker falcon,2055,410
American kestrel,2039276,65837
Pygmy falcon,2758,439
Lanner falcon,6477,733
Bat falcon,37220,2658
Orange-breasted falcon,2752,802
Merlin,503917,49413
Sooty falcon,977,145
Aplomado falcon,25747,3985
Eurasian hobby,36298,2870
Collared falconet,2157,455
Crested caracara,235811,13216
Buckley's forest-falcon,474,18
Laughing falcon,53684,3114
